title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Prince Smart Inn Kyoto Sanjo,Kyoto,3505.0,12,1,12,6,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40833.0
Hotel Japanesque Kyoto Station ZEQUU ANNEX,Kyoto,457.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58047.0
Ocean View Hiromi SPA Hotel温泉と絶景の宿,Shizuoka,281.0,10,6,10,11,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,64080.0
Chisun Grand Takayama,Gifu,3496.0,12,1,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54276.0
Kyoto Pleasant Hotel,Kyoto,153.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51509.0
アルファベットイン那覇国際通りWEST,Okinawa,151.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Hotel Hewitt Koshien,Hyogo,3388.0,10,6,10,11,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25147.0
The Yuinchi Hotel Nanjo,Okinawa,1198.0,10,6,10,11,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,26351.0
sala del rey Kyoto South,Kyoto,174.0,10,6,10,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,71569.0
Rizo Zaizen Hotel,Okinawa,387.0,11,10,11,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,76346.0
&and COMFY HOTEL Kumamoto Jo View,Kumamoto,1747.0,10,6,10,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21088.0
Hotel Granvia Wakayama,Wakayama,2219.0,11,10,11,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29569.0
Candeo Hotels Osaka The Tower,Osaka,2716.0,12,1,12,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,58117.0
Grids Premium Hotel Kumamoto,Kumamoto,1501.0,12,1,12,6,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21027.0
ホテル ナインステイツ唐津,Saga,13.0,10,6,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
"Yu Kiroro, Ski-in Ski-out Luxury Residences",Hokkaido,206.0,12,29,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,442147.0
KABIN Kyoto,Kyoto,1680.0,12,29,1,3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,69939.0
Shizutetsu Hotel Prezio Kyoto Shijo,Kyoto,947.0,12,29,1,3,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45477.0
Aki Grand Hotel & Spa,Hiroshima,1345.0,10,13,10,18,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,93418.0
LAMP LIGHT BOOKS HOTEL fukuoka,Fukuoka,3763.0,10,13,10,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39490.0
Hotel Keihan Kyoto Ekiminami,Kyoto,4254.0,10,13,10,18,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39321.0
KABIN Taka,Kyoto,1914.0,12,29,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80106.0
Private condo Kourijima by Coldio Smart Resort,Okinawa,558.0,11,24,11,29,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,54359.0
Hotel Keihan Kyoto Hachijoguchi,Kyoto,3147.0,10,13,10,18,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44636.0
Hotel Sunset Hill,Okinawa,642.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26960.0
Daiwa Roynet Hotel Chiba-chuo,Chiba,3002.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27203.0
Toyoko Inn Tokyo Minami-machida,Tokyo,720.0,11,17,11,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18848.0
Ostay Vermillion Namba,Osaka,3853.0,10,27,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,43494.0
Hotel Monterey Edelhof Sapporo,Hokkaido,1996.0,10,27,11,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,30411.0
Smile Hotel Premium Hakodate Goryokaku,Hokkaido,1717.0,11,17,11,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14536.0
Tokyu Stay Shinjuku Eastside,Tokyo,3649.0,11,17,11,22,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,105851.0
Innocence Resort -in Chiba Resol-,Chiba,166.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38522.0
Hotel Enoe Hakodate,Hokkaido,330.0,12,22,12,27,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18021.0
hotel androoms Naha Port,Okinawa,3238.0,10,27,11,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21166.0
Ashibetsu Onsen Starlight Hotel,Hokkaido,24.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,52335.0
Shiraishi Island International Villa,Okayama,209.0,10,27,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18336.0
Comfort Villa,Okinawa,886.0,11,17,11,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Chisun Hotel Hiroshima,Hiroshima,3388.0,12,22,12,27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17208.0
Family Condo Chatan Hills by Coldio Premium,Okinawa,732.0,11,17,11,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Hotel Monterey Grasmere Osaka,Osaka,3620.0,11,17,11,22,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,54131.0
SOIL Nagatoyumoto,Yamaguchi,13.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54684.0
Hotel Springs Makuhari Premier,Chiba,137.0,10,27,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48253.0
Hotel Resol Kyoto Kawaramachi Sanjo,Kyoto,4792.0,12,22,12,27,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39776.0
Urban Hotel Kyoto Gojo Premium,Kyoto,3044.0,10,13,10,18,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33029.0
Nagoya Prince Hotel Sky Tower,Aichi,2266.0,11,10,11,15,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,64272.0
KOKO HOTEL Premier Kanazawa Korinbo,Ishikawa,5133.0,10,13,10,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31123.0
Kyoto Brighton Hotel,Kyoto,1442.0,10,13,10,18,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,62572.0
Hotel Wing International Select Kumamoto,Kumamoto,2505.0,10,13,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21033.0
Daiwa Roynet Hotel Hiroshima,Hiroshima,2303.0,11,17,11,22,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23909.0
Hotel New Grand,Kanagawa,4913.0,11,17,11,22,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,48484.0
UAN kanazawa,Ishikawa,2000.0,10,13,10,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79590.0
Daiwa Roynet Hotel Chiba Ekimae,Chiba,2359.0,11,17,11,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29647.0
CHISUN PREMIUM Kyoto Kujo,Kyoto,3973.0,10,13,10,18,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53074.0
Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,Tokyo,4058.0,10,13,10,18,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,97865.0
OMO7 Osaka by Hoshino Resorts,Osaka,2132.0,11,10,11,15,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,55163.0
Quintessa Hotel Kokura Comic & Books,Fukuoka,1655.0,10,13,10,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21308.0
One Niseko Resort Towers,Hokkaido,664.0,11,10,11,15,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,34781.0
Hotel Santa Barbara Miyakojima Resort,Okinawa,956.0,11,17,11,22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19863.0
Dusit Thani Kyoto,Kyoto,1259.0,11,10,11,15,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,193229.0
Henn na Hotel Kyoto Hachijoguchi,Kyoto,3503.0,10,13,10,18,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,41878.0
La Vista Tokyo Bay,Tokyo,2818.0,10,13,10,18,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,51087.0
KAMOME SLOW HOTEL the COMPACT,Hyogo,474.0,11,10,11,15,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,55973.0
Comfort Hotel Kyoto Horikawagojo,Kyoto,4142.0,10,13,10,18,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28218.0
Hotel Resol Trinity Kyoto,Kyoto,4712.0,11,10,11,15,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60022.0
KABIN Koji,Kyoto,308.0,10,13,10,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51163.0
Citadines Namba Osaka,Osaka,3922.0,11,10,11,15,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,63524.0
HOTEL FORZA HAKATA-GUCHI,Fukuoka,3502.0,10,13,10,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49671.0
BbyC Hotel 那覇 レンタカー付ホテル,Okinawa,751.0,11,10,11,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16007.0
Hotel GrandConsort Naha,Okinawa,2653.0,12,1,12,6,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23289.0
SARASA HOTEL Shin-Osaka,Osaka,1976.0,12,1,12,6,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,16537.0
KOKO HOTEL Residence Asakusa Tawaramachi,Tokyo,1395.0,11,10,11,15,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,75128.0
Namba Oriental Hotel,Osaka,1565.0,11,10,11,15,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,58265.0
"KAYA Kyoto Nijo Castle, BW Signature Collection by Best Western",Kyoto,1188.0,12,1,12,6,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,56977.0
THE SINGULARI HOTEL & SKYSPA at UNIVERSAL STUDIOS JAPAN,Osaka,7189.0,12,1,12,6,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,44087.0
Oriental Hotel Hiroshima,Hiroshima,2150.0,12,1,12,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26667.0
HOTEL R9 The Yard Arao,Kumamoto,137.0,12,1,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24165.0
Grand Prince Hotel Hiroshima,Hiroshima,3823.0,12,1,12,6,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,26790.0
The Gate Hotel Kyoto Takasegawa by Hulic,Kyoto,3960.0,10,13,10,18,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,92923.0
La'gent Hotel Kyoto Nijo,Kyoto,3241.0,11,10,11,15,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60069.0
Sakura Cross Hotel Kyoto Kiyomizu,Kyoto,2253.0,10,13,10,18,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Hotel Graphy Nezu,Tokyo,2259.0,11,3,11,8,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,62428.0
谷町君 HOTEL 恵美須町72,Osaka,3596.0,12,15,12,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50616.0
The Millennials Shibuya,Tokyo,2122.0,12,22,12,27,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,53770.0
LAMP LIGHT BOOKS HOTEL sapporo,Hokkaido,3619.0,11,3,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21574.0
Hotel Brighton City Osaka Kitahama,Osaka,3447.0,12,15,12,20,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,26201.0
Shinsaibashi ARTY Inn,Osaka,4138.0,12,15,12,20,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,28939.0
Loisir Hotel Kyoto Toji,Kyoto,1388.0,12,15,12,20,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19842.0
LUXCARE HOTEL,Osaka,2880.0,11,3,11,8,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,36271.0
Hotel Intergate Kyoto Shijo Shinmachi,Kyoto,2543.0,12,15,12,20,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,46118.0
The Royal Park Canvas Nagoya,Aichi,3344.0,12,15,12,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30920.0
Hotel Resol Kyoto Shijo Muromachi,Kyoto,2530.0,12,15,12,20,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30573.0
Hotel MOANA絶景オーシャンビューカフェラウンジ朝食付き,Tokyo,69.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69484.0
Comfort Hotel ERA Kyoto Toji,Kyoto,4552.0,12,15,12,20,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17554.0
Wander Kyoto Nanajo,Kyoto,4368.0,12,15,12,20,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21820.0
Tokyo Bay Shiomi Prince Hotel,Tokyo,7157.0,12,15,12,20,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,64730.0
Daiwa Roynet Hotel Kyoto Terrace Hachijo PREMIER,Kyoto,1345.0,12,15,12,20,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46791.0
La'gent Hotel Shinjuku Kabukicho,Tokyo,2917.0,12,8,12,13,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55510.0
Smile Hotel Premium Kanazawa Higashiguchiekimae,Ishikawa,802.0,12,8,12,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17510.0
Tokyo Prince Hotel,Tokyo,2218.0,12,8,12,13,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,70158.0
LYURO Tokyo Kiyosumi by THE SHARE HOTELS,Tokyo,2048.0,10,27,11,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,33448.0
Toyoko Inn Hokkaido Sapporo Susukino Junction,Hokkaido,1407.0,12,8,12,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26780.0
Lieta Nakayama,Okinawa,400.0,10,27,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
GrandEmpireHotel,Fukuoka,13.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47961.0
Best Western Hotel Fino Tokyo Akasaka,Tokyo,2791.0,12,8,12,13,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,44286.0
Oriental Hotel Tokyo Bay,Chiba,5643.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69593.0
Karuizawa Prince Hotel East,Nagano,659.0,12,8,12,13,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,75792.0
Hotel Wing International Sapporo Susukino,Hokkaido,1545.0,10,27,11,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,23555.0
Nico Hotel,Osaka,1630.0,12,8,12,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,37131.0
Hewitt Resort Naha,Okinawa,1850.0,12,8,12,13,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,25901.0
Sapporo View Hotel Odori Park,Hokkaido,2328.0,10,27,11,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24859.0
Comfort Hotel Tokyo Higashi Nihombashi,Tokyo,3047.0,10,27,11,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,39066.0
Royal Park Hotel,Tokyo,2011.0,12,8,12,13,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,103392.0
APA Hotel Kyoto Gojo Omiya,Kyoto,604.0,12,8,12,13,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36583.0
insomnia KYOTO OIKE,Kyoto,1883.0,12,8,12,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37654.0
HOTEL Tomiya with M's,Kyoto,334.0,12,8,12,13,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40127.0
Oakwood Premier Tokyo,Tokyo,964.0,11,17,11,22,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,190232.0
Hotel Code Shinsaibashi,Osaka,2783.0,11,24,11,29,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,47481.0
Agora Kyoto Shijo,Kyoto,1985.0,11,17,11,22,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61660.0
hotel androoms Osaka Hommachi,Osaka,3208.0,11,24,11,29,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,61383.0
GOTO RETREAT by Onko Chishin,Nagasaki,64.0,11,17,11,22,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,165438.0
Toyoko Inn Okinawa Naha Asahibashi Ekimae,Okinawa,1642.0,11,24,11,29,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19861.0
Quintessa Hotel Sapporo,Hokkaido,3046.0,11,17,11,22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23756.0
Daiwa Roynet Hotel Sendai Ichibancho PREMIER,Miyagi,990.0,11,24,11,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28249.0
Tokyu Stay Kyoto Sanjo-Karasuma,Kyoto,3108.0,11,17,11,22,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71096.0
Sanco Inn Kyoto Hachijoguchi Shikinoyu,Kyoto,4119.0,11,17,11,22,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61609.0
Toyoko Inn Osaka Umeda Higashi,Osaka,1296.0,11,17,11,22,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,20874.0
Hotel Monterey Hanzomon,Tokyo,5372.0,11,24,11,29,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,56112.0
Stay SAKURA Kyoto Higashi Hongan-ji I,Kyoto,1051.0,11,17,11,22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79799.0
The Royal Park Hotel Iconic Nagoya,Aichi,1118.0,11,17,11,22,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,51481.0
Randor Hotel Hiroshima Prestige,Hiroshima,2541.0,11,24,11,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,69175.0
Sukumo -蒅-,Tokyo,514.0,11,17,11,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,36212.0
Mitsui Garden Hotel Osaka Premier,Osaka,3135.0,11,17,11,22,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55924.0
Comfort Inn Tokyo Roppongi,Tokyo,1637.0,11,17,11,22,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45396.0
Hotel California Miyakojima Resort,Okinawa,329.0,11,17,11,22,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16943.0
Richmond Hotel Premier Kyoto Shijo,Kyoto,1069.0,11,24,11,29,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105431.0
ホテルカルチャーヴィレッジ,Hokkaido,24.0,10,6,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24973.0
Keio Plaza Hotel Tokyo Premier Grand,Tokyo,1164.0,11,10,11,15,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,183081.0
Solaria Nishitetsu Hotel Sapporo,Hokkaido,1222.0,11,24,11,29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30806.0
Prince Smart Inn Naha,Okinawa,2186.0,11,24,11,29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18382.0
Nesta Resort Kobe,Hyogo,78.0,11,24,11,29,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47635.0
M's Hotel Kyoto Station Taruya,Kyoto,1936.0,10,6,10,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33557.0
Hotel Musse Ginza Meitetsu,Tokyo,4152.0,10,6,10,11,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,98633.0
EM Wellness Kurashinohakko Lifestyle Resort,Okinawa,549.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,26419.0
KOKO HOTEL Hiroshima Ekimae,Hiroshima,1564.0,11,24,11,29,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20704.0
Mito Sannomaru Hotel,Ibaraki,945.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24135.0
Henn na Hotel Tokyo Asakusabashi,Tokyo,3788.0,11,10,11,15,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,36959.0
Hotel K5,Tokyo,811.0,10,6,10,11,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,592545.0
M's Hotel Sanjo Omiya,Kyoto,2446.0,10,6,10,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40388.0
Hotel Kanazawa,Ishikawa,1727.0,11,24,11,29,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42768.0
Henn na Hotel Tokyo Ginza,Tokyo,3100.0,11,10,11,15,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,47352.0
Super Hotel Shinjuku Kabukicho,Tokyo,1348.0,11,24,11,29,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,47649.0
Hotel Kojan,Osaka,1659.0,11,10,11,15,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,34302.0
Henn na Hotel Kanazawa Korimbo,Ishikawa,3289.0,10,6,10,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23103.0
