title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Bandai Silver Hotel,Niigata,2279.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17732.0
Hotel Metropolitan Sendai East,Miyagi,1642.0,11,24,11,29,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,39469.0
Hotel Arc Riche Toyohashi,Aichi,638.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,29747.0
ibis Styles Nagoya,Aichi,2536.0,11,24,11,29,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25322.0
Hotel Anteroom Kyoto,Kyoto,3740.0,10,27,11,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,58328.0
Hotel Hana,Gifu,928.0,10,27,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21387.0
MIMARU SUITES Kyoto Shijo,Kyoto,868.0,10,27,11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Sky Park Hotel,Nagano,252.0,10,27,11,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36164.0
Hotel Forza Kyoto Shijo Kawaramachi,Kyoto,3534.0,10,27,11,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48218.0
Hotel Route-Inn Gotenba Eki-Minami,Shizuoka,722.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27181.0
Hotel A'bant Shizuoka,Shizuoka,1722.0,10,27,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15515.0
Hilton Garden Inn Kyoto Shijo Karasuma,Kyoto,349.0,10,27,11,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,63168.0
NOHGA HOTEL AKIHABARA TOKYO,Tokyo,1569.0,11,10,11,15,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,159065.0
Candeo Hotels Fukuyama,Hiroshima,601.0,11,24,11,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22398.0
Hotel Metropolitan Kawasaki,Kanagawa,2405.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,46513.0
Hotel Higashinihon Utsunomiya,Tochigi,635.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15749.0
KYOTO GION HOTEL,Kyoto,1172.0,10,27,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59495.0
EN Hotel Shibuya,Tokyo,1265.0,10,27,11,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,81349.0
APA Hotel & Resort Midosuji Hommachi Eki Tower,Osaka,9688.0,11,24,11,29,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,36047.0
